id,used,name,region,stemmedName,extractedName,latitude,longitude
8021,True,Asikkalakk,other,asikkalak,Asikkalakk,,
1034,True,Asila,other,asil,Asila,61.73218,27.52097
573,True,Askainen,other,askain,Askainen,60.56667,21.86667
4075,True,Askäinen,other,askäin,Askäinen,,
575,True,Askainenkk,other,askainenk,Askainenkk,,
6776,True,Asko,karelia,asko,Asko,,
5291,True,Askola,karelia,askol,Askola,,
4437,True,Askolakk,other,askolak,Askolakk,,
5529,True,Asola,other,asol,Asola,60.32973,25.05108
3574,True,Asser,other,asser,Asser,,
2090,True,asti,other,ast,asti,,
3135,True,Asuinp,,asuinp,Asuinp,,
4282,True,Asunta,other,asun,Asunta,,
5856,True,Ateneumin,other,ateneum,Ateneumin,,
5440,True,Atrea,karelia,atr,Atrea,,
5276,True,Attusaari,other,attusaar,Attusaari,,
3255,True,Attu,other,atu,Attu,60.18333,22.33333
8995,True,atulakk,karelia,atulak,atulakk,,
4465,True,August,other,august,August,,
4622,True,Aukusti,other,aukust,Aukusti,,
7957,True,Aulanko,other,aula,Aulanko,61.02259,24.4451
7984,True,Aulis,other,aulis,Aulis,,
8512,True,Aune,other,aune,Aune,,
11379,True,Aunuk,,aunuk,Aunuk,,
11251,True,Aunukksella,,aunukks,Aunukksella,,
11543,True,Aunukselinna,karelia,aunukselin,Aunukselinna,,
6272,True,Aunuksenlinna,karelia,aunuksenlin,Aunuksenlinna,,
439,True,Aunus,karelia,aunus,Aunus,60.98475,32.96976
472,True,Aura,other,aura,Aura,60.6471,22.58755
4011,True,Äura,other,äura,Äura,,
668,True,Auraas,other,auraas,Auraas,,
4507,True,Aurakk,other,aurak,Aurakk,,
2162,True,Australia,other,austral,Australia,,
9925,True,Autti,other,aut,Autti,66.321,27.10813
3005,True,Auta,other,auta,Auta,,
4370,True,Autio,karelia,autio,Autio,,
6885,True,auto-onnettomuudessa,,auto-onnettomuud,auto-onnettomuudessa,,
9178,True,Autonkuljettaja,other,autonkuljettaj,Autonkuljettaja,,
5192,True,Autreaas,karelia,autreaas,Autreaas,,
5907,True,Auttoinen,other,auttoin,Auttoinen,61.29901,25.08887
3139,True,AuVa,,auva,AuVa,,
3721,True,Auvainen,other,auvain,Auvainen,60.99493,22.07862
3160,True,Auvaismäki,other,auvaismäk,Auvaismäki,60.57029,22.34564
5940,True,Auverberg,,auverberg,Auverberg,,
